Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mobile,,,,2021-12-02 19:52:16,2021-12-02 19:58:49,6m - 33.313s,FAILED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:52:16,2021-12-02 19:53:18,1m - 2.181s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:52:17,2021-12-02 19:52:32,15.062s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:52:32,2021-12-02 19:52:32,0.098s,PASSED
"mobile.login(Email, Password)",,,,2021-12-02 19:52:32,2021-12-02 19:53:18,46.474s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:53:18,2021-12-02 19:55:15,1m - 56.487s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:53:18,2021-12-02 19:53:31,12.372s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:53:31,2021-12-02 19:53:31,0.000s,PASSED
"mobile.login(Email, Password)",,,,2021-12-02 19:53:31,2021-12-02 19:55:15,1m - 44.114s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:55:15,2021-12-02 19:56:42,1m - 27.122s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:55:15,2021-12-02 19:55:27,12.197s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:55:27,2021-12-02 19:55:27,0.002s,PASSED
"mobile.login(Email, Password)",,,,2021-12-02 19:55:27,2021-12-02 19:56:42,1m - 14.923s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Register,,,,2021-12-02 19:56:42,2021-12-02 19:58:03,1m - 20.864s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:56:44,2021-12-02 19:56:57,13.450s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:56:57,2021-12-02 19:56:57,0.000s,PASSED
"mobile.register(nama, Email, Password, Action, nomortlp, gender, jenisidentitas, nomoridentitas)",,,,2021-12-02 19:56:57,2021-12-02 19:58:03,1m - 6.021s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/cart,,,,2021-12-02 19:58:03,2021-12-02 19:58:49,45.611s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:58:04,2021-12-02 19:58:17,12.551s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:58:17,2021-12-02 19:58:17,0.001s,PASSED
"mobile.cart(email, password, carilokasi, labelalamat, namapenerima, notlpnpenerima, catatan, pengiriman, jenispengiriman, pembayaran)",,,,2021-12-02 19:58:17,2021-12-02 19:58:49,32.438s,FAILED
